Senator,State,State Electors,State Female Electors,State Male Electors,Female Share,Male Share,Active Participants,Share of National Participants,Participants as % of State Electors,Average Committed Support,Average Payments,Estimated Annual Funding Flow,Autism,Intellectual Disability,Psychosocial Disability,First Nations,CALD,0-14 Years,15+ Years,Major Cities (MMM1),Inner Regional (MMM2),Outer Regional (MMM3),Medium Rural (MMM4),Small Rural (MMM5),Remote (MMM6),Very Remote (MMM7),Active Providers,Participants Per Provider,State Share of National Providers,Participants,Average Support,Total Annual Committed Supports,1% Funding Reduction,5% Funding Reduction,10% Funding Reduction
Senator the Hon Katherine Gallagher,ACT,324456,166049,157819,0.5117766,0.4864111,12597,0.01626561095788528,3.882498705525557,39225.95,28400.58,494129290.93,5457,1399,1155,690,1171,4831,7766,12581,0,0,0,0,0,0,7146,1.76,0.02205296909621711,12597,39225.95,494129290.93,4941292.9093,24706464.5465,49412929.093
Senator David Pocock,ACT,324456,166049,157819,0.5117766,0.4864111,12597,0.01626561095788528,3.882498705525557,39225.95,28400.58,494129290.93,5457,1399,1155,690,1171,4831,7766,12581,0,0,0,0,0,0,7146,1.76,0.02205296909621711,12597,39225.95,494129290.93,4941292.9093,24706464.5465,49412929.093
Senator the Hon Timothy Ayres,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Sean Bell,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Andrew Bragg,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Ross Cadell,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Jessica Collins,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Mehreen Faruqi,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Maria Kovacic,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator the Hon Jennifer McAllister,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Deborah O'Neill,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Devanand Sharma,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator Anthony Sheldon,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator David Shoebridge,NSW,5767578,2945495,2816584,0.5106988,0.4883478,228184,0.2946377844577355,3.956322740672081,43925.2,33626.48,10023027738.1,96113,30599,19833,22842,24300,96291,131893,159744,7915,30286,13352,16031,672,182,97262,2.35,0.3001561545250865,228184,43925.2,10023027738.1,100230277.381,501151386.905,1002302773.81
Senator the Hon Malarndirri McCarthy,NT,156289,77295,78759,0.4945646,0.5039318,6819,0.00880489014224178,4.36307097748402,73298.58,53763.61,499823007.59,2056,1283,651,3694,341,2808,4043,0,3814,0,0,87,1488,1434,3102,2.2,0.009572951320524136,6819,73298.58,499823007.59,4998230.0759,24991150.3795,49982300.759
Senator Jacinta Nampijinpa Price,NT,156289,77295,78759,0.4945646,0.5039318,6819,0.00880489014224178,4.36307097748402,73298.58,53763.61,499823007.59,2056,1283,651,3694,341,2808,4043,0,3814,0,0,87,1488,1434,3102,2.2,0.009572951320524136,6819,73298.58,499823007.59,4998230.0759,24991150.3795,49982300.759
Senator Penny Allman-Payne,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
Senator the Hon Matthew Canavan,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
Senator the Hon Anthony Chisholm,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
Senator the Hon Nita Green,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
Senator Pauline Hanson,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
Senator Susan McDonald,QLD,3809410,1948488,1856843,0.5114934,0.4874358,165611,0.2138417159916122,4.347418629131545,44332.93,32265.42,7342020847,74197,18859,12723,18609,8468,69749,95862,102812,36583,6049,6174,11069,1549,1373,84569,1.96,0.2609848227677001,165611,44332.93,7342020847,73420208.47,367101042.35,734202084.7
