normalized_key,state,party,email,title
alexander antic,SA,LP,senator.antic@aph.gov.au,
andrew bragg,NSW,LP,senator.bragg@aph.gov.au,
andrew mclachlan,SA,LP,senator.mclachlan@aph.gov.au,
anne ruston,SA,LP,senator.ruston@aph.gov.au,(Deputy Leader of the Opposition in the; Senate)
anthony chisholm,QLD,ALP,senator.chisholm@aph.gov.au,"Assistant Minister for Regional; Development; Assistant Minister for Agriculture, Fisheries; and Forestry; Assistant Minister for Resources; (Deputy Manager of Government Business; in the Senate)"
anthony sheldon,NSW,ALP,senator.sheldon@aph.gov.au,(Chief Government Whip in the Senate)
barbara pocock,SA,AG,senator.barbara.pocock@aph.gov.au,
bridget mckenzie,VIC,NATS,senator.mckenzie@aph.gov.au,(Leader of the Nationals in the Senate)
carol brown,TAS,ALP,senator.carol.brown@aph.gov.au,
charlotte walker,SA,ALP,senator.walker@aph.gov.au,
claire chandler,TAS,LP,senator.chandler@aph.gov.au,
corinne mulholland,QLD,ALP,senator.mulholland@aph.gov.au,
david pocock,ACT,IND,senator.david.pocock@aph.gov.au,(Independent ACT Whip)
david shoebridge,NSW,AG,senator.shoebridge@aph.gov.au,
dean smith,WA,LP,senator.smith@aph.gov.au,
deborah o'neill,NSW,ALP,senator.oneill@aph.gov.au,
devanand sharma,NSW,LP,senator.sharma@aph.gov.au,
donald farrell,SA,ALP,senator.farrell@aph.gov.au,Minister for Trade and Tourism; Special Minister of State; (Deputy Leader of the Government in the; Senate)
dorinda cox,WA,ALP,senator.cox@aph.gov.au,
ellie whiteaker,WA,ALP,senator.whiteaker@aph.gov.au,
fatima payman,WA,AV,senator.payman@aph.gov.au,(Australia’s Voice Whip)
glenn sterle,WA,ALP,senator.sterle@aph.gov.au,
helen polley,TAS,ALP,senator.polley@aph.gov.au,
jacinta price,NT,CLP,senator.nampijinpaprice@aph.gov.au,
jacqui lambie,TAS,JLN,senator.lambie@aph.gov.au,
james mcgrath,QLD,LNP,senator.mcgrath@aph.gov.au,
james paterson,VIC,LP,senator.paterson@aph.gov.au,
jana stewart,VIC,ALP,senator.stewart@aph.gov.au,
jane hume,VIC,LP,senator.hume@aph.gov.au,(Deputy Leader of the Opposition)
jennifer mcallister,NSW,ALP,senator.mcallister@aph.gov.au,Minister for the National Disability Insurance; Scheme
jess walsh,VIC,ALP,senator.walsh@aph.gov.au,Minister for Early Childhood Education; Minister for Youth
jessica collins,NSW,LP,senator.collins@aph.gov.au,(Deputy Opposition Whip in the Senate)
jonathon duniam,TAS,LP,senator.duniam@aph.gov.au,(Manager of Opposition Business in the; Senate)
jordon steele-john,WA,AG,senator.steele-john@aph.gov.au,
josh dolega,TAS,ALP,senator.dolega@aph.gov.au,
karen grogan,SA,ALP,senator.grogan@aph.gov.au,(Deputy Government Whip in the Senate)
katherine gallagher,ACT,ALP,senator.katy.gallagher@aph.gov.au,Minister for the Public Service; Minister for Women; Minister for Finance; Minister for Government Services; (Vice-President of the Executive Council; and Manager of Government Business in; the Senate)
kerrynne liddle,SA,LP,senator.liddle@aph.gov.au,(Deputy Opposition Whip in the Senate)
larissa waters,QLD,AG,senator.waters@aph.gov.au,(Leader of the Australian Greens)
leah blyth,SA,LP,senator.blyth@aph.gov.au,
